ID;Size;Model;y_obs;y_hat;Res
7;12.3325;1;24.88;28.27796862;-3.397968618
7;10.741;1;22.22;24.445347;-2.225346996
7;9.355;1;19.78;20.98052458;-1.20052458
7;8.148;1;17.55;17.89090608;-0.340906078
7;7.0965;1;15.52;15.1683332;0.351666797
7;6.1805;1;13.67;12.79500047;0.874999525
7;5.383;1;11.99;10.74664947;1.243350525
7;4.6885;1;10.45;8.992640898;1.457359102
7;4.0835;1;9.04;7.500603761;1.539396239
7;3.5565;1;7.74;6.238988639;1.501011361
7;3.0975;1;6.54;5.177672802;1.362327198
7;2.698;1;5.42;4.289209467;1.130790533
7;2.35;1;4.38;3.54744527;0.83255473
7;2.0465;1;3.42;2.929264127;0.490735873
7;1.7825;1;2.56;2.416683475;0.143316525
7;1.5525;1;1.81;1.99185564;-0.18185564
7;1.352;1;1.17;1.640149764;-0.470149764
7;1.1775;1;0.67;1.349861792;-0.679861792
7;1.0255;1;0.3;1.110337237;-0.810337237
7;0.8935;1;0.1;0.913470468;-0.813470468
7;0.778;1;0.02;0.750571294;-0.730571294
7;0.6775;1;0.02;0.616631342;-0.596631342
7;0.5905;1;0.02;0.507103859;-0.487103859
7;0.5145;1;0.02;0.4167508;-0.3967508
7;0.448;1;0.02;0.342134319;-0.322134319
7;0.39;1;0.02;0.280741926;-0.260741926
7;0.3395;1;0.02;0.23033164;-0.21033164
7;0.2955;1;0.02;0.188920217;-0.168920217
7;0.2575;1;0.02;0.155198707;-0.135198707
7;0.2245;1;0.02;0.127580721;-0.107580721
7;0.1955;1;0.02;0.104696827;-0.084696827
7;0.17;1;0.02;0.085736542;-0.065736542
7;0.148;1;0.02;0.070325627;-0.050325627
7;0.129;1;0.02;0.057781123;-0.037781123
7;0.1125;1;0.02;0.047509936;-0.027509936
7;0.098;1;0.02;0.03900095;-0.01900095
7;0.085;1;0.02;0.031817727;-0.011817727
7;0.074;1;0.02;0.026096044;-0.006096044
7;0.0645;1;0.02;0.021439406;-0.001439406
7;0.056;1;0.02;0.017515222;0.002484778
7;0.049;1;0.02;0.014469404;0.005530596
7;0.043;1;0.02;0.012003066;0.007996934
7;0.0375;1;0.02;0.009868594;0.010131406
7;0.0325;1;0.02;0.008041525;0.011958475
7;0.028;1;0.02;0.006497292;0.013502708
7;0.0245;1;0.02;0.005367339;0.014632661
7;0.0215;1;0.02;0.004452397;0.015547603
7;0.0185;1;0.02;0.003590957;0.016409043
7;0.016;1;0.02;0.002917394;0.017082606
7;0.014;1;0.02;0.002410011;0.017589989
7;0.012;1;0.02;0.001932991;0.018067009
7;0.0105;1;0.02;0.001596809;0.018403191
8;257.653;1;100;96.82684948;3.17315052
8;224.4065;1;99.88;96.15992141;3.720078587
8;195.45;1;99.5;95.35953749;4.140462515
8;170.2295;1;98.68;94.40202288;4.277977116
8;148.2635;1;97.3;93.26090275;4.039097253
8;129.132;1;95.23;91.90711721;3.322882791
8;112.4695;1;92.42;90.30967014;2.110329859
8;97.957;1;88.86;88.43657075;0.423429251
8;85.317;1;84.63;86.25648462;-1.626484624
8;74.308;1;79.86;83.74094162;-3.880941619
8;64.7195;1;74.71;80.8670756;-6.157075604
8;56.3685;1;69.36;77.62109014;-8.261090138
8;49.095;1;63.97;74.00142191;-10.03142191
8;42.76;1;58.68;70.02237525;-11.34237525
8;37.2425;1;53.6;65.71652574;-12.11652574
8;32.437;1;48.8;61.13553125;-12.33553125
8;28.2515;1;44.32;56.34892412;-12.02892412
8;24.606;1;40.16;51.44093311;-11.28093311
8;21.431;1;36.32;46.50514939;-10.18514939
8;18.6655;1;32.79;41.63653874;-8.846538736
8;16.257;1;29.54;36.9260715;-7.386071495
